      0.02	0.00	2.39	6.56	14.01	7.33	3.04	1.07	2.40	2.03	0.86	0.46	1.60	0.34	0.03	2.14	3.48	0.41	
      0.05	0.00	2.38	2.13	2.91	15.17	4.85	3.38	0.90	3.79	0.47	0.32	3.99	1.09	0.73	7.66	0.71	1.42	
      0.07	0.00	3.18	10.97	1.53	11.90	2.26	1.78	2.23	0.63	0.95	2.00	0.78	3.17	4.64	4.35	1.45	0.01	
      0.09	0.00	9.03	18.48	7.20	13.28	2.72	4.18	0.10	2.26	0.33	0.65	0.42	0.85	1.70	1.17	1.79	1.61	
      0.12	0.00	0.52	11.07	10.72	10.20	8.18	0.94	0.14	1.60	0.72	2.40	0.54	1.04	3.63	0.37	1.75	0.36	
      0.14	0.00	19.12	17.16	8.61	9.09	16.22	4.63	1.69	5.40	1.51	1.06	2.21	3.34	4.79	6.23	2.04	1.12	
      0.16	0.00	9.24	4.36	0.96	0.99	6.13	1.19	10.16	2.48	4.22	0.75	3.39	0.82	2.45	2.33	0.79	0.20	
      0.19	0.00	9.61	7.35	4.58	7.07	1.69	7.74	5.80	2.09	1.80	3.00	1.27	1.80	0.89	1.38	0.26	0.33	
      0.21	0.00	11.60	12.24	6.24	8.46	14.37	3.99	4.26	3.58	0.04	1.37	3.78	0.82	0.10	3.48	1.28	1.76	
      0.23	0.00	10.30	1.15	1.90	23.93	4.26	3.63	0.13	3.91	1.51	0.88	0.07	2.27	0.54	5.23	0.64	1.76	
      0.26	0.00	2.50	5.90	4.82	3.91	4.30	0.60	4.61	1.65	1.46	0.53	3.49	1.71	2.20	0.02	0.47	0.02	
      0.28	0.00	1.30	19.79	7.05	3.54	4.04	5.60	0.37	1.40	1.34	1.55	1.45	0.82	1.66	1.02	1.94	0.46	
      0.30	0.00	3.61	1.20	8.80	2.21	7.25	1.97	0.20	2.61	0.35	1.97	0.06	0.49	4.79	0.42	1.31	0.80	
      0.33	0.00	3.25	11.83	0.23	17.52	1.30	6.63	1.85	0.84	2.72	0.05	0.01	1.03	0.03	4.14	2.30	0.67	
